businessId,name
3446451-6,Chaotic systems Oy
3445798-1,Stargate Hydrogen Finland Oy
3445253-1,PF Logistic Oy
3441583-7,AP-kone Oy
3439584-8,Nordic Plastic Revolution Oy
3432632-4,TEHKO OY
3425998-5,WiseNorth Oy
3414994-6,International Innovation Network Oy
3411713-5,Tallijalokivi Oy
3411362-8,1nvent Oy
3409138-5,Crawler Oy
3406936-4,Billiboori Oy
3405555-2,OliOil Oy
3395148-6,Purus Everro Oy
3389186-6,NEI AI Oy
3385527-5,Otawave Robotics Oy
3375733-3,PaRAS Aqua Oy
3370652-8,Teräväinen installation partner Oy
3369193-6,JTV Asennus Oy
3367474-9,Customare Production Oy
3359990-2,DA-Laitteet Oy
3351947-4,Metecno Oy
3348971-1,GlassAI Oy
3333393-6,Koski Modules Osakeyhtiö
3329273-2,Bioviab Oy
3327196-6,Jambak Oy
3325608-8,Proagro Oy
3324234-8,Normaco Finland Oy
3323057-4,IzenIQ Oy
3319809-2,Northlight Defence and Rescue Industries Oy (NDR-Industries).
3318253-3,Energy Safety Solutions Finland Oy
3318418-4,CO2 Vending Oy
3315472-7,Windbellows Oy
3304335-7,Fourth Wheel Oy Ltd.
3298600-3,Tredax Ab
3292477-7,BioVille Oy
3287857-1,Blastjet Oy
3287859-8,Bonarum Oy
3282583-2,Sinclair Management Oy Ltd
3279814-1,Termix Oy
3277826-3,SV Lift Oy
3272629-5,Mistech Oy
3270396-6,Trameta Oy
3270397-4,Ravuri 19 Oy
3270056-2,SteelLeanel Oy
3269728-7,T-Gadgets Oy
3267032-4,Suodeco Oy
3254330-9,Lean Pulp Oy
3252520-7,2 Fresh Finland Oy
3252346-3,G.O.Steel Oy
3251758-1,Tech-ant Oy
3251960-8,Siipotec Oy
3247183-5,X-Dev Solutions Oy
3246069-3,Teosipi Oy
3243106-7,FlowGait Oy
3242250-7,WestWind Oy
3233258-7,Pronor Mechanic Oy
3232226-6,MJP Brewing Systems Oy
3230171-3,Ecofer Global Oy Ltd
3229719-5,Lumineq Oy
3229720-8,Beneq Oy
3227148-9,Natural Dynamics Oy
3214541-5,ISECS Oy
3212484-1,SafePro Oy
3210457-6,ZetNet Oy
3204093-9,Vehkavalu Oy
3201533-8,Huumo Engineering Oy
3200584-2,PDR Engineering Oy
3198573-8,Raisen Oy
3196629-7,Megazoom Oy
3196962-3,JH Joint Venture Oy Ab
3190309-3,Taika Berries Oy
3187412-2,AMT-Systems Oy
3185491-4,CE Manufacturing OY
3184663-1,PUHI OY
3183545-7,6DOF Systems Oy
3178070-8,Bunzi Oy
3177647-7,Store Towers Oy
3176532-1,FuturMation Oy
3173758-2,Gold Tech Oy
3166157-3,AQLOTECH Oy
3164747-2,Konepaja Jamet Oy
3164267-1,AIROAD OY
3164070-5,akomak oy
3163516-4,Saimaa Jätevex Oy
3163144-6,Versa Module Oy
3160073-8,Anderoidi Oy Ab
3157321-5,Telastar Oy
3157344-2,Actioneco Oy
3157269-3,FerroPower Oy
3156028-9,Tactical Field Solutions Company Oy
3155881-6,MigraineBan Oy
3156283-1,Saalasti Finland Oy
3153199-8,EWK Finland Oy
3151097-8,Sycore Oy
3150672-5,TYRE WASH TWS Oy
3148747-2,Pura betonimuotti Oy
3148069-2,Suomen mikroaaltokuivaintehdas oy
3147471-9,Ficon Oy
3144534-4,wControl Oy
3143896-1,Marttiini Metal Oy
3141093-4,Consair Finland Oy
3140381-4,INS Works Oy
3132299-3,Tomicus Oy
3131548-6,Omnipill Oy
3130259-7,Done Robotics Ab Oy
3128609-9,Memoera Oy
3124361-1,Oy Water Help Ltd
3123889-8,Wide Clean Oy
3122234-3,Jestron Automation Finland Oy
3119390-9,NixOff Oy
3118513-2,IP-Kenttäkalusto Oy
3115273-6,Flowless Oy
3113680-8,International Detection Technologies Oy Ltd
3113580-5,CES Technology Center Oy
3110891-1,Sunrob Packaging Oy
3109099-3,Kiesitech Oy
3108281-1,Hycamite TCD Technologies Oy
3105615-4,Jestron Cobotics Oy
3099987-1,Carboner Oy
3097476-2,GA Products Oy
3095229-9,DeveloX Oy
3095035-7,GREY TO BLUE OY
3094753-7,Mecalift Oy
3094143-4,Rovano Oy
3093776-9,Hyd-Jar Oy
3091854-1,Vulten Energy Oy Ltd
3087677-5,Stairon Group Oy
3087147-2,JMFACTORY OY
3086990-3,Horse Haytec Oy
3021692-9,Kauratech Oy
3020799-3,Grinders Finland Oy
3015980-5,Valovi Oy
3014769-5,Ori Solution Oy
3013029-5,Euro Hitsauspalvelu Oy
3010856-5,Finnish crematorium technology oy
3009489-6,RT Robottitekniikka OY
3001465-7,Oy ProTCorb Ab
2994907-6,Eco Water W4YG Oy Ltd
2979193-4,Jugi Oy
2973027-7,Greenergia Oy
2972318-1,The Portside Pirate Ab
2960392-1,ML-Equipment Maintenance Oy
2956914-5,Sones Oy
2955181-8,Suomen Nuohouskeskus Oy
2953784-8,QuattroX Oy
2948949-5,JP-Cover Oy Ltd
2941050-5,Aurinkovarastointi Oy
2939514-9,RH harvesting Oy
2938666-4,Ampfocus Oy
2929625-5,BOS Nordic Oy
2929376-7,Sukituskontti oy
2926840-6,Head Recycle Systems Oy
2926313-8,Sonotecc Oy
2925148-7,Agalon Oy Ab
2918783-3,Millesker Oy
2918416-5,Oy Egas Finland Ltd
2917479-2,Sunstorm Oy
2915874-1,Lahti Glass Technology Oy
2914921-2,NB Solutions Oy
2911723-7,Lifto Oy
2901161-9,Ferrotech Oy
2900570-2,MekaFluid Oy
